objectid,parentid,title,creator,date,era,description,subject,publisher,source,relation,hasVersion,type,format,extent,language,rights,license,isPartOf,isReferencedBy,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
abb10039,,"Sebastian Münster, ‹Die Löblich und wyt berümpt Stat Basel›, 1538",Sebastian Münster Q61073,1538,Neuzeit,"Die Karte zeigt Basel als befestigte Grenzstadt (rechts) sowie ihre geografische Lage zwischen dem Breisgau, dem Sundgau und den eidgenössischen Gebieten (links).",Stadt,Staatsarchiv Basel-Stadt,"StABS, PLA 15, 1-3",https://dls.staatsarchiv.bs.ch/records/189838,,http://purl.org/dc/dcmitype/Image,image/tiff,9752x5559,,"Bilddaten gemeinfrei - StABS
StABS, PLA 15, 1-3",https://creativecommons.org/publicdomain/mark/1.0/,4,1,image,,https://omeka.unibe.ch/files/large/f3cf104c7d3a7cfac8cd3b058755c8727f6bd268.jpg,https://omeka.unibe.ch/files/large/f3cf104c7d3a7cfac8cd3b058755c8727f6bd268.jpg,,
abb10262,,"Urs Graf, Vom Teufel gefangener Landsknecht, 1516",Urs Graf Q688304,1516,Neuzeit,"In seinen Zeichnungen kommentierte der aus Solothurn stammende Basler Maler Urs Graf ironisch das von den Zeitgenossen heftig diskutierte Söldnerwesen. Graf nahm selbst an mehreren Kriegszügen teil. Hier führt der mit einem Schweizerdolch ausgestattete Teufel einen alten, aufgeputzten deutschen Landsknecht am Narrenseil.",Kunst; Bevölkerung; Krieg,Kunstmuseum Basel,KMB U.X.71,https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=16557&viewType=detailView,,http://purl.org/dc/dcmitype/Image,image/jpeg,3419x4715,,"Bilddaten gemeinfrei - Kunstmuseum Basel
KMB, Inv. U.X.71",https://creativecommons.org/publicdomain/mark/1.0/,4,2,image,,https://omeka.unibe.ch/files/large/e2e5ffd219ae631bc874e78bd02dcc1bfb5a3261.jpg,https://omeka.unibe.ch/files/large/e2e5ffd219ae631bc874e78bd02dcc1bfb5a3261.jpg,,
abb10311,,"Hans Holbein d. J., Doppelporträt von Jakob Meyer zum Hasen und Dorothea Kannengiesser, 1516",Hans Holbein d. J. Q48319,1516,Neuzeit,"Das Doppelporträt des Ehepaars Meyer-Kannengiesser ist eines der ersten Bilder, das Hans Holbein d. J. in Basel schuf. Es entstand 1516 anlässlich der Wahl Meyers zum Basler Bürgermeister. Meyer war der erste Bürgermeister, der nicht aus dem Adel stammte, sondern aus einer Zunft kam.",Ehe; Kunst; Familie,Kunstmuseum Basel,KMB Inv. 312,https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=961&viewType=detailView,,http://purl.org/dc/dcmitype/Image,image/jpeg,10000x6192,,"Bilddaten gemeinfrei - Kunstmuseum Basel
KMB, Inv. 312",https://creativecommons.org/publicdomain/mark/1.0/,4,3,image,,https://omeka.unibe.ch/files/large/2bd8ac8929f4a9d5c0379bcaa43fe94d10eb05f3.jpg,https://omeka.unibe.ch/files/large/2bd8ac8929f4a9d5c0379bcaa43fe94d10eb05f3.jpg,,
abb10333,,"Anfang des Matthäusevangeliums im ‹Novum Instrumentum omne›, 1516",Erasmus von Rotterdam Q43499,1516,Neuzeit,1516 druckte Johannes Froben das von Erasmus herausgegebene und übersetzte ‹Novum Instrumentum omne› und setzte damit einen Meilenstein in der europäischen Kultur- und Geistesgeschichte. Es handelte sich um den ersten Druck des Neuen Testaments in griechischer Sprache. In die rechte Spalte liess Erasmus eine von ihm selbst angefertigte lateinische Übersetzung setzen.,Christentum; Religion,,UBH BibG B3,https://doi.org/10.3931/e-rara-2849,https://www.e-rara.ch/i3f/v20/895554/manifest,http://purl.org/dc/dcmitype/Image,image/jpeg,2878x4009,,"Public Domain Mark
UB Basel, UBH BibG B3",https://creativecommons.org/publicdomain/mark/1.0/,4,4,image,,https://omeka.unibe.ch/files/large/17710746c0ce9d39c7aae50ee0306fb52daba1e6.jpg,https://omeka.unibe.ch/files/large/17710746c0ce9d39c7aae50ee0306fb52daba1e6.jpg,,
abb10671,,"Hans Holbein d. J., Oberried-Altar, Flügel mit der Darstellung der Geburt Christi und der Anbetung der Heiligen Drei Könige, Universitätskapelle des Münsters, Freiburg i. Br., um 1525",Hans Holbein d. J. Q48319,1525~,Neuzeit,"Religiöse Stiftungen dienten in der Zeit vor der
Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.",Kirche; Religion; Bevölkerung,"Jochen Sander, Hans Holbein d. J. Tafelmaler in Basel 1515-1532, München 2005, S. 388",,"https://commons.wikimedia.org/wiki/File:Oberried_Altarpiece_%28right_wing_panel,_the_birth_of_Christ%29,_by_Hans_Holbein_the_Younger.jpg#metadata",,http://purl.org/dc/dcmitype/Image,image/jpeg,1392x2940,,"Public Domain Mark
Sander 2005, S. 384–385, Wikimedia Commons",https://en.wikipedia.org/wiki/Public_domain,4,5,multiple,,https://omeka.unibe.ch/files/large/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg,https://omeka.unibe.ch/files/large/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg,,
abb10671_0,abb10671,,Hans Holbein d. J. Q48319,1525~,Neuzeit,"Religiöse Stiftungen dienten in der Zeit vor der
Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.",Kirche; Religion; Bevölkerung,"Jochen Sander, Hans Holbein d. J. Tafelmaler in Basel 1515-1532, München 2005, S. 388",,"https://commons.wikimedia.org/wiki/File:Oberried_Altarpiece_%28right_wing_panel,_the_birth_of_Christ%29,_by_Hans_Holbein_the_Younger.jpg#metadata",,http://purl.org/dc/dcmitype/Image,image/jpeg,1392x2940,,"Public Domain Mark
Sander 2005, S. 384–385, Wikimedia Commons",https://en.wikipedia.org/wiki/Public_domain,4,5,image,https://omeka.unibe.ch/files/original/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg,https://omeka.unibe.ch/files/large/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg,https://omeka.unibe.ch/files/large/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg,,
abb10671_1,abb10671,,Hans Holbein d. J. Q48319,1525~,Neuzeit,"Religiöse Stiftungen dienten in der Zeit vor der
Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.",Kirche; Religion; Bevölkerung,"Jochen Sander, Hans Holbein d. J. Tafelmaler in Basel 1515-1532, München 2005, S. 388",,"https://commons.wikimedia.org/wiki/File:Oberried_Altarpiece_%28right_wing_panel,_the_birth_of_Christ%29,_by_Hans_Holbein_the_Younger.jpg#metadata",,http://purl.org/dc/dcmitype/Image,image/jpeg,1392x2940,,"Public Domain Mark
Sander 2005, S. 384–385, Wikimedia Commons",https://en.wikipedia.org/wiki/Public_domain,4,5,image,https://omeka.unibe.ch/files/original/756614670f7f6552f9094b239bc502b20c741cfb.jpg,https://omeka.unibe.ch/files/large/756614670f7f6552f9094b239bc502b20c741cfb.jpg,https://omeka.unibe.ch/files/large/756614670f7f6552f9094b239bc502b20c741cfb.jpg,,
abb10824,,"Anonym, Statue des heiligen Laurentius, um 1480",Anonym,1480~,Neuzeit,"Die Kratz- und Stichspuren im Gesicht des heiligen Laurentius, dessen Statue bis in die Reformationszeit in
der Kapelle auf dem Andreasplatz stand, zeugen von den Attacken der Bilderstürmer.",Kirche; Architektur,Historisches Museum Basel,HMB Inv. 1910.117,https://www.hmb.ch/museen/sammlungsobjekte/einzelansicht/s/hl-laurentius/,,http://purl.org/dc/dcmitype/Image,image/tiff,1766x2223,,"CC BY-SA 4.0, Peter Portner
HMB, Inv. 1910.117, Foto Peter Portner",https://creativecommons.org/licenses/by-sa/4.0/,4,6,image,,https://omeka.unibe.ch/files/large/2ba1e4695b71d2c89a73bf05178f4ffdea3176f8.jpg,https://omeka.unibe.ch/files/large/2ba1e4695b71d2c89a73bf05178f4ffdea3176f8.jpg,,
abb10954,,"Hans Holbein d. J. / Peter Vischer (zugeschrieben), Predigt von Oekolampad im Münster, 16.Jahrhundert","Hans Holbein d. J. Q48319, Peter Vischer (zugeschrieben) Q63126104",16XX,Neuzeit,"In Predigten, zu denen Frauen und Männer zahlreich erschienen, wurde die reformatorische Lehre verbreitet. Was die Menschen glauben sollten, erläuterten der Basler Reformator Oekolampad und andere Priester durch die Auslegung von Bibelstellen. Diese Interaktion zwischen reformatorisch gesinnten Geistlichen und der Gemeinde war für die Reformation ebenso wichtig wie der Druck von Büchern, Schriften und Flugblättern, mit denen gegen die alte Kirche polemisiert und der neue Glaube propagiert wurde.",Kirche; Christentum; Bevölkerung,Staatsarchiv Basel-Stadt,StABS BILD Falk. A 100,https://dls.staatsarchiv.bs.ch/records/582136,,http://purl.org/dc/dcmitype/Image,image/tiff,6716x7550,,"Bilddaten gemeinfrei - StABS
StABS, BILD Falk. A 100",https://creativecommons.org/publicdomain/mark/1.0/,4,7,image,,https://omeka.unibe.ch/files/large/0444290373d065ab34a635223484344b1588140b.jpg,https://omeka.unibe.ch/files/large/0444290373d065ab34a635223484344b1588140b.jpg,,
abb10970,,"Hans Asper, Johannes Oekolampad, 1550",Hans Asper Q115752,1531/1550,Neuzeit,Der Theologieprofessor und Prediger Johannes Oekolampad wurde zur Führungsfigur der Basler Reformation. Hans Asper stellte ihn mit der Bibel als dem zentralen Leitbild des neuen Glaubens dar.,Kirche; Christentum,Kunstmuseum Basel,KMB Inv. 12,https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=1074&viewType=detailView,,http://purl.org/dc/dcmitype/Image,image/jpeg,5067x6031,Latein,"Bilddaten gemeinfrei - Kunstmuseum Basel
KMB, Inv. 12",https://creativecommons.org/publicdomain/mark/1.0/,4,8,image,,https://omeka.unibe.ch/files/large/031e97b482e3b20db8195a459b6ad6aab695ca0c.jpg,https://omeka.unibe.ch/files/large/031e97b482e3b20db8195a459b6ad6aab695ca0c.jpg,,
